"""","素材需要量総数総数(千m3)","国産材_県内(千m3)","国産材_県外(千m3)","外材_南洋材(千m3)","外材_ﾗﾜﾝ材(千m3)","外材_米材(千m3)","外材_北洋材(千m3)","外材_ﾆｭ-ｼﾞ-ﾗﾝﾄﾞ材(千m3)","外材_その他(千m3)"
"昭和50年(1975年)","1772.0","318.0","112.0","…","102.0","1047.0","59.0","…","…"
"昭和60年(1985年)","1586.0","242.0","81.0","62.0","15.0","1124.0","30.0","46.0","1.0"
"平成 7年(1995年)","1222.0","197.0","48.0","40.0","3.0","913.0","1.0","16.0","7.0"
"平成17年(2005年)","505.0","151.0","52.0","31.0","1.0","243.0","7.0","3.0","18.0"
"","","","","","","","","",""
"平成19年(2007年)","371.0","131.0","42.0","19.0","0.0","158.0","0.0","5.0","16.0"
"平成20年(2008年)","363.0","138.0","41.0","14.0","0.0","152.0","0.0","2.0","16.0"
"平成21年(2009年)","319.0","136.0","33.0","12.0","0.0","120.0","0.0","1.0","17.0"
"平成22年(2010年)","299.0","128.0","35.0","14.0","0.0","105.0","0.0","1.0","16.0"
"","","","","","","","","",""
"平成23年(2011年)","276.0","132.0","41.0","13.0","0.0","71.0","0.0","1.0","18.0"
"平成24年(2012年)","248.0","126.0","39.0","3.0","0.0","62.0","0.0","2.0","16.0"
"平成25年(2013年)","244.0","136.0","43.0","3.0","x","47.0","x","1.0","x"
